瘤痢,斥档,矫累,矫累(乞厚),场,场(乞厚)
辑匡,1960,1960-11-26,6老,1961-03-27,9老
辑匡,1961,1961-11-10,-10老,1962-04-03,16老
辑匡,1962,1962-11-20,0老,1963-04-09,22老
辑匡,1963,1963-11-10,-10老,1964-03-26,8老
辑匡,1964,1964-11-13,-7老,1965-03-16,-2老
辑匡,1965,1965-11-27,7老,1966-03-24,6老
辑匡,1966,1966-10-28,-23老,1967-03-22,4老
辑匡,1967,1967-11-30,10老,1968-03-07,-11老
辑匡,1968,1968-11-09,-11老,1969-04-04,17老
辑匡,1969,1969-11-10,-10老,1970-03-24,6老
辑匡,1970,1970-11-25,5老,1971-03-24,6老
辑匡,1971,1971-12-03,13老,1972-03-31,13老
辑匡,1972,1972-11-20,0老,1973-03-16,-2老
辑匡,1973,1973-11-10,-10老,1974-03-22,4老
辑匡,1974,1974-11-11,-9老,1975-03-12,-6老
辑匡,1975,1975-12-15,25老,1976-03-22,4老
辑匡,1976,1976-11-17,-3老,1977-04-18,31老
辑匡,1977,1977-11-28,8老,1978-03-22,4老
辑匡,1978,1978-11-28,8老,1979-03-24,6老
辑匡,1979,1979-12-01,11老,1980-03-23,5老
辑匡,1980,1980-10-25,-26老,1981-03-26,8老
辑匡,1981,1981-10-23,-28老,1982-03-17,-1老
辑匡,1982,1982-12-10,20老,1983-04-03,16老
辑匡,1983,1983-11-16,-4老,1984-03-27,9老
辑匡,1984,1984-12-16,26老,1985-03-07,-11老
辑匡,1985,1985-11-09,-11老,1986-03-19,1老
辑匡,1986,1986-11-28,8老,1987-03-25,7老
辑匡,1987,1987-11-28,8老,1988-03-08,-10老
辑匡,1988,1988-12-10,20老,1989-03-16,-2老
辑匡,1989,1989-11-18,-2老,1990-03-17,-1老
辑匡,1990,1990-12-01,11老,1991-03-31,13老
辑匡,1991,1991-12-08,18老,1992-03-06,-12老
辑匡,1992,1992-11-09,-11老,1993-04-10,23老
辑匡,1993,1993-11-21,1老,1994-03-25,7老
辑匡,1994,1994-12-04,14老,1995-03-18,0老
辑匡,1995,1995-11-01,-19老,1996-03-25,7老
辑匡,1996,1996-11-17,-3老,1997-03-15,-3老
辑匡,1997,1997-10-30,-21老,1998-02-09,-37老
辑匡,1998,1998-11-17,-3老,1999-03-21,3老
辑匡,1999,1999-11-27,7老,2000-03-08,-10老
辑匡,2000,2000-11-12,-8老,2001-03-30,12老
辑匡,2001,2001-11-27,7老,2002-03-06,-12老
辑匡,2002,2002-11-08,-12老,2003-03-09,-9老
辑匡,2003,2003-12-08,18老,2004-03-17,-1老
辑匡,2004,2004-11-26,6老,2005-02-22,-24老
辑匡,2005,2005-11-29,9老,2006-03-28,10老
辑匡,2006,2006-11-06,-14老,2007-03-10,-8老
辑匡,2007,2007-11-19,-1老,2008-03-06,-12老
辑匡,2008,2008-11-20,0老,2009-03-03,-15老
辑匡,2009,2009-11-15,-5老,2010-03-26,8老
辑匡,2010,2010-11-08,-12老,2011-03-28,10老
辑匡,2011,2011-11-22,2老,2012-04-03,16老
辑匡,2012,2012-11-13,-7老,2013-04-10,23老
辑匡,2013,2013-11-18,-2老,2014-03-09,-9老
辑匡,2014,2014-11-14,-6老,2015-03-03,-15老
辑匡,2015,2015-11-25,5老,2016-02-29,-18老
辑匡,2016,2016-11-26,6老,2017-03-08,-10老
辑匡,2017,2017-11-17,-3老,2018-04-07,20老
辑匡,2018,2018-11-24,4老,2019-03-23,5老
辑匡,2019,2019-11-15,-5老,2020-04-22,35老
辑匡,2020,2020-12-10,20老,2021-03-02,-16老
辑匡,2021,2021-11-10,-10老,2022-03-19,1老
辑匡,2022,2022-11-29,9老,2023-02-19,-27老
辑匡,2023,2023-11-17,-3老, , 
