년도,시작,평균기온(℃),평균최저기온(℃),평균최고기온(℃),날짜계산값
21916,22246,14.3,9.7,19.4,330
22282,22595,15.3,10.9,20.2,313
22647,22970,13.4,8.8,18,323
23012,23325,13.5,8.8,18.8,313
23377,23694,13.5,9.3,18.3,317
23743,24073,14.2,9.4,19.6,330
24108,24408,13.3,9,18.3,300
24473,24806,13.9,9.4,19.3,333
24838,25151,13.8,9.4,19.2,313
25204,25517,13.2,9.1,18,313
25569,25897,13.9,9.7,18.9,328
25934,26270,14.1,9.9,19.1,336
26299,26623,12.7,8.5,17.5,324
26665,26978,12.7,8.7,17.5,313
27030,27344,12.9,8.5,18.1,314
27395,27743,15.7,11.8,20.5,348
27760,28081,12.4,8.1,17.4,321
28126,28457,15.3,11,20.4,331
28491,28822,14.4,10.4,19.5,331
28856,29190,13.9,9.4,19.1,334
29221,29519,13.7,9.2,19,298
29587,29882,12.3,8.2,16.9,295
29952,30295,14.8,10,20.2,343
30317,30636,14.3,10.4,18.7,319
30682,31032,14,9.8,19.1,350
31048,31360,13.5,10,17.7,312
31413,31744,12.6,8.6,17.1,331
31778,32109,14.4,9.9,19.3,331
32143,32487,14,9.3,19.2,344
32509,32830,13.8,9.8,18.4,321
32874,33208,15.5,11,20.5,334
33239,33580,13.8,9.4,18.6,341
33604,33917,13.7,9.6,18.3,313
33970,34294,14.4,10.1,19.4,324
34335,34672,15.2,11.1,20,337
34700,35004,13.9,9.4,18.9,304
35065,35386,14.2,10,19,321
35431,35733,14.1,9.5,19.4,302
35796,36116,15.8,11.7,20.7,320
36161,36491,15,11.1,19.6,330
36526,36842,14.2,10.2,18.4,316
36892,37222,15.3,11.1,20,330
37257,37568,12.8,9,17.3,311
37622,37963,14.8,11,19.1,341
37987,38317,15.3,11.1,20.2,330
38353,38685,15,11.3,19.3,332
38718,39027,15.8,11.8,20.2,309
39083,39405,14.4,10.9,18.7,322
39448,39772,15.2,11.3,19.9,324
39814,40132,14.9,11,19.2,318
40179,40490,14.3,10.5,18.9,311
40544,40869,15.6,11.5,20.2,325
40909,41226,13.9,10.1,18.3,317
41275,41596,14.6,10.3,19.3,321
41640,41957,15.6,11.2,20.7,317
42005,42333,15.6,11.4,20.7,328
42370,42700,15.3,11.2,20.3,330
42736,43056,14.7,10.1,20.1,320
43101,43428,14.1,9.9,19.3,327
43466,43784,15.5,11.3,20.6,318
43831,44175,14.6,10.5,19.2,344
44197,44510,15.5,11.5,20.2,313
44562,44894,15.7,11.4,20.8,332
44927,,15.4,11.5,20,
