년도,시작,평균기온(℃),평균최저기온(℃),평균최고기온(℃),날짜계산값
1960-01-01,1960-11-26,14.3,9.7,19.4,330
1961-01-01,1961-11-10,15.3,10.9,20.2,313
1962-01-01,1962-11-20,13.4,8.8,18,323
1963-01-01,1963-11-10,13.5,8.8,18.8,313
1964-01-01,1964-11-13,13.5,9.3,18.3,317
1965-01-01,1965-11-27,14.2,9.4,19.6,330
1966-01-01,1966-10-28,13.3,9,18.3,300
1967-01-01,1967-11-30,13.9,9.4,19.3,333
1968-01-01,1968-11-09,13.8,9.4,19.2,313
1969-01-01,1969-11-10,13.2,9.1,18,313
1970-01-01,1970-11-25,13.9,9.7,18.9,328
1971-01-01,1971-12-03,14.1,9.9,19.1,336
1972-01-01,1972-11-20,12.7,8.5,17.5,324
1973-01-01,1973-11-10,12.7,8.7,17.5,313
1974-01-01,1974-11-11,12.9,8.5,18.1,314
1975-01-01,1975-12-15,15.7,11.8,20.5,348
1976-01-01,1976-11-17,12.4,8.1,17.4,321
1977-01-01,1977-11-28,15.3,11,20.4,331
1978-01-01,1978-11-28,14.4,10.4,19.5,331
1979-01-01,1979-12-01,13.9,9.4,19.1,334
1980-01-01,1980-10-25,13.7,9.2,19,298
1981-01-01,1981-10-23,12.3,8.2,16.9,295
1982-01-01,1982-12-10,14.8,10,20.2,343
1983-01-01,1983-11-16,14.3,10.4,18.7,319
1984-01-01,1984-12-16,14,9.8,19.1,350
1985-01-01,1985-11-09,13.5,10,17.7,312
1986-01-01,1986-11-28,12.6,8.6,17.1,331
1987-01-01,1987-11-28,14.4,9.9,19.3,331
1988-01-01,1988-12-10,14,9.3,19.2,344
1989-01-01,1989-11-18,13.8,9.8,18.4,321
1990-01-01,1990-12-01,15.5,11,20.5,334
1991-01-01,1991-12-08,13.8,9.4,18.6,341
1992-01-01,1992-11-09,13.7,9.6,18.3,313
1993-01-01,1993-11-21,14.4,10.1,19.4,324
1994-01-01,1994-12-04,15.2,11.1,20,337
1995-01-01,1995-11-01,13.9,9.4,18.9,304
1996-01-01,1996-11-17,14.2,10,19,321
1997-01-01,1997-10-30,14.1,9.5,19.4,302
1998-01-01,1998-11-17,15.8,11.7,20.7,320
1999-01-01,1999-11-27,15,11.1,19.6,330
2000-01-01,2000-11-12,14.2,10.2,18.4,316
2001-01-01,2001-11-27,15.3,11.1,20,330
2002-01-01,2002-11-08,12.8,9,17.3,311
2003-01-01,2003-12-08,14.8,11,19.1,341
2004-01-01,2004-11-26,15.3,11.1,20.2,330
2005-01-01,2005-11-29,15,11.3,19.3,332
2006-01-01,2006-11-06,15.8,11.8,20.2,309
2007-01-01,2007-11-19,14.4,10.9,18.7,322
2008-01-01,2008-11-20,15.2,11.3,19.9,324
2009-01-01,2009-11-15,14.9,11,19.2,318
2010-01-01,2010-11-08,14.3,10.5,18.9,311
2011-01-01,2011-11-22,15.6,11.5,20.2,325
2012-01-01,2012-11-13,13.9,10.1,18.3,317
2013-01-01,2013-11-18,14.6,10.3,19.3,321
2014-01-01,2014-11-14,15.6,11.2,20.7,317
2015-01-01,2015-11-25,15.6,11.4,20.7,328
2016-01-01,2016-11-26,15.3,11.2,20.3,330
2017-01-01,2017-11-17,14.7,10.1,20.1,320
2018-01-01,2018-11-24,14.1,9.9,19.3,327
2019-01-01,2019-11-15,15.5,11.3,20.6,318
2020-01-01,2020-12-10,14.6,10.5,19.2,344
2021-01-01,2021-11-10,15.5,11.5,20.2,313
2022-01-01,2022-11-29,15.7,11.4,20.8,332
2023-01-01,,15.4,11.5,20,
