name,positions,overall,potential,value_eur,height_cm,weight_kg,preferred_foot,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
L. Messi,FW,93,93,78000000,170,72,Left,85,92,91,95,34,65,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24,6,11,15,14,8,89,89,89,92,93,93,93,92,93,93,93,91,87,87,87,91,66,64,64,64,66,61,50,50,50,61,19
R. Lewandowski,FW,92,92,119500000,185,81,Right,78,92,79,86,44,82,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88,35,42,19,15,6,12,8,10,90,90,90,85,88,88,88,85,86,86,86,84,80,80,80,84,64,66,66,66,64,61,60,60,60,61,19
Cristiano Ronaldo,FW,91,91,45000000,187,83,Right,87,94,80,88,34,75,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24,7,11,15,14,11,90,90,90,88,89,89,89,88,86,86,86,86,78,78,78,86,63,59,59,59,63,60,53,53,53,60,20
Neymar Jr,MF,91,91,129000000,175,68,Right,91,83,86,94,37,63,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,35,32,29,9,9,15,15,11,83,83,83,90,88,88,88,90,89,89,89,89,82,82,82,89,67,63,63,63,67,62,50,50,50,62,20
K. De Bruyne,MF,91,91,125500000,181,70,Right,76,86,93,88,64,78,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53,15,13,5,10,13,83,83,83,88,87,87,87,88,89,89,89,89,89,89,89,89,79,80,80,80,79,75,69,69,69,75,21
J. Oblak,GK,91,93,112000000,188,87,Right,,,,,,,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,90,33,33,33,32,35,35,35,32,38,38,38,35,38,38,38,35,32,36,36,36,32,32,33,33,33,32,89
K. Mbappe,FW,91,95,194000000,182,73,Right,97,88,80,92,36,77,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32,13,5,7,11,6,89,89,89,90,90,90,90,90,89,89,89,89,81,81,81,89,67,63,63,63,67,63,54,54,54,63,18
M. Neuer,GK,90,90,13500000,193,93,Right,,,,,,,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,88,88,91,89,88,40,40,40,40,43,43,43,40,47,47,47,44,50,50,50,44,37,43,43,43,37,35,34,34,34,35,88
M. ter Stegen,GK,90,92,99000000,187,85,Right,,,,,,,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,35,35,35,35,38,38,38,35,42,42,42,39,45,45,45,39,33,41,41,41,33,31,33,33,33,31,88
H. Kane,FW,90,90,129500000,188,89,Right,70,91,83,83,47,83,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38,8,10,11,14,11,88,88,88,84,86,86,86,84,85,85,85,84,82,82,82,84,67,68,68,68,67,64,61,61,61,64,20
