연도,월일,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2018,101,노원구,0.034,0.011,0.8,0.007,42,21
2018,102,노원구,0.032,0.015,0.8,0.006,40,22
2018,103,노원구,0.018,0.022,0.5,0.006,36,19
2018,104,노원구,0.032,0.013,0.6,0.006,48,26
2018,105,노원구,0.044,0.008,0.9,0.007,63,40
2018,106,노원구,0.041,0.01,0.8,0.007,49,31
2018,107,노원구,0.048,0.005,1,0.007,57,39
2018,108,노원구,0.046,0.009,0.9,0.007,61,43
2018,109,노원구,0.015,0.029,0.4,0.006,39,18
2018,110,노원구,0.015,0.024,0.4,0.005,34,13
2018,111,노원구,0.014,0.023,0.4,0.006,34,22
2018,112,노원구,0.028,0.017,0.5,0.006,26,15
2018,113,노원구,0.051,0.003,0.9,0.007,55,38
2018,114,노원구,0.048,0.008,1,0.007,76,57
2018,115,노원구,0.052,0.013,0.9,0.008,66,42
2018,116,노원구,0.07,0.004,1.3,0.009,114,81
2018,117,노원구,0.054,0.009,1,0.004,106,79
2018,118,노원구,0.037,0.019,0.8,0.007,83,53
2018,119,노원구,0.032,0.022,0.7,0.007,57,27
2018,120,노원구,0.047,0.016,1,0.008,90,54
2018,121,노원구,0.034,0.018,0.7,0.007,57,31
2018,122,노원구,0.043,0.009,0.8,0.006,46,26
2018,123,노원구,0.011,0.032,0.3,0.005,25,11
2018,124,노원구,0.013,0.029,0.4,0.005,29,10
2018,125,노원구,0.013,0.029,0.4,0.005,25,12
2018,126,노원구,0.016,0.026,0.5,0.006,34,20
2018,127,노원구,0.039,0.011,0.8,0.006,53,
2018,128,노원구,0.024,0.024,0.6,0.006,37,
2018,129,노원구,0.017,0.028,0.4,0.006,45,16
2018,130,노원구,0.047,0.007,0.8,0.007,46,25
2018,131,노원구,0.037,0.013,0.8,0.007,41,20
2018,201,노원구,0.038,0.014,0.7,0.007,39,21
2018,202,노원구,0.046,0.011,1,0.008,58,34
2018,203,노원구,0.015,0.028,0.5,0.006,41,22
2018,204,노원구,0.011,0.032,0.4,0.006,35,23
2018,205,노원구,0.014,0.029,0.4,0.005,29,16
2018,206,노원구,0.014,0.029,0.4,0.005,34,20
2018,207,노원구,0.035,0.015,0.7,0.006,41,26
2018,208,노원구,0.053,0.007,1,0.008,57,38
2018,209,노원구,0.065,0.005,1.2,0.008,73,52
2018,210,노원구,0.033,0.023,0.7,0.006,73,41
2018,211,노원구,0.013,0.033,0.4,0.006,52,15
2018,212,노원구,0.015,0.032,0.4,0.006,48,14
2018,213,노원구,0.042,0.013,0.7,0.007,52,19
2018,214,노원구,0.034,0.028,0.6,0.008,65,29
2018,215,노원구,0.017,0.032,0.4,0.007,38,15
2018,216,노원구,0.026,0.027,0.6,0.007,46,22
2018,217,노원구,0.012,0.033,0.4,0.006,47,12
2018,218,노원구,0.02,0.03,0.5,0.007,39,18
2018,219,노원구,0.042,0.015,0.8,0.008,60,37
2018,220,노원구,0.031,0.024,0.7,0.007,61,38
2018,221,노원구,0.016,0.036,0.4,0.006,38,18
2018,222,노원구,0.036,0.023,0.6,0.007,48,28
2018,223,노원구,0.04,0.022,0.8,0.006,86,63
2018,224,노원구,0.026,0.031,0.7,0.006,72,48
2018,225,노원구,0.031,0.023,0.6,0.007,45,29
2018,226,노원구,0.057,0.011,0.9,0.008,63,39
2018,227,노원구,0.08,0.003,1.3,0.012,100,64
2018,228,노원구,0.044,0.015,0.8,0.007,73,46
2018,301,노원구,0.015,0.042,0.5,0.005,42,28
2018,302,노원구,0.041,0.019,0.6,0.007,69,29
2018,303,노원구,0.046,0.017,0.7,0.008,56,26
2018,304,노원구,0.036,0.017,0.6,0.007,29,18
2018,305,노원구,0.015,0.036,0.4,0.005,11,5
2018,306,노원구,0.027,0.023,0.5,0.005,34,18
2018,307,노원구,0.019,0.031,0.4,0.004,29,16
2018,308,노원구,0.015,0.033,0.5,0.004,36,27
2018,309,노원구,0.028,0.025,0.6,0.005,45,32
2018,310,노원구,0.039,0.022,0.7,0.006,53,36
2018,311,노원구,0.029,0.033,0.6,0.005,64,41
2018,312,노원구,0.05,0.021,0.8,0.007,88,53
2018,313,노원구,0.046,0.023,0.8,0.007,67,41
2018,314,노원구,0.028,0.026,0.4,0.006,27,13
2018,315,노원구,0.026,0.017,0.4,0.004,20,12
2018,316,노원구,0.014,0.038,0.3,0.004,15,6
2018,317,노원구,0.029,0.024,0.5,0.005,31,17
2018,318,노원구,0.038,0.021,0.6,0.005,58,40
2018,319,노원구,0.021,0.031,0.4,0.004,35,23
2018,320,노원구,0.009,0.045,0.3,0.004,20,8
2018,321,노원구,0.017,0.037,0.3,0.004,17,7
2018,322,노원구,0.032,0.028,0.6,0.005,44,25
2018,323,노원구,0.043,0.031,0.7,0.007,75,51
2018,324,노원구,0.049,0.033,0.9,0.008,115,84
2018,325,노원구,0.038,0.038,0.8,0.006,115,89
2018,326,노원구,0.057,0.023,0.9,0.007,104,69
2018,327,노원구,0.05,0.03,0.8,0.008,89,52
2018,328,노원구,0.036,0.032,0.7,0.007,59,37
2018,329,노원구,0.033,0.028,0.6,0.006,60,37
2018,330,노원구,0.033,0.033,0.5,0.005,59,31
2018,331,노원구,0.037,0.033,0.6,0.006,57,29
2018,401,노원구,0.035,0.024,0.6,0.006,65,32
2018,402,노원구,0.029,0.029,0.5,0.006,65,26
2018,403,노원구,0.028,0.022,0.4,0.006,64,20
2018,404,노원구,0.015,0.035,0.3,0.004,13,6
2018,405,노원구,0.017,0.031,0.4,0.004,8,4
2018,406,노원구,0.018,0.033,0.4,0.004,115,24
2018,407,노원구,0.011,0.043,0.4,0.004,48,23
2018,408,노원구,0.021,0.034,0.4,0.005,29,14
2018,409,노원구,0.037,0.018,0.6,0.005,36,21
2018,410,노원구,0.031,0.029,0.6,0.005,42,19
2018,411,노원구,0.021,0.042,0.4,0.005,58,22
2018,412,노원구,0.029,0.031,0.5,0.005,40,13
2018,413,노원구,0.029,0.031,0.5,0.005,33,14
2018,414,노원구,0.016,0.039,0.4,0.004,23,11
2018,415,노원구,0.014,0.038,0.4,0.004,73,18
2018,416,노원구,0.03,0.024,0.5,0.005,36,20
2018,417,노원구,0.035,0.028,0.5,0.006,57,27
2018,418,노원구,0.035,0.032,0.5,0.005,67,28
2018,419,노원구,0.044,0.035,0.6,0.007,84,38
2018,420,노원구,0.059,0.036,0.7,0.008,94,46
2018,421,노원구,0.049,0.024,0.7,0.007,67,36
2018,422,노원구,0.027,0.026,0.5,0.005,39,21
2018,423,노원구,0.011,0.044,0.3,0.004,11,6
2018,424,노원구,0.018,0.031,0.3,0.004,12,5
2018,425,노원구,0.031,0.025,0.5,0.005,35,22
2018,426,노원구,0.037,0.03,0.6,0.006,44,27
2018,427,노원구,0.042,0.028,0.6,0.007,54,33
2018,428,노원구,0.039,0.029,0.6,0.006,58,36
2018,429,노원구,0.03,0.045,0.5,0.006,50,28
2018,430,노원구,0.038,0.036,0.6,0.007,73,48
2018,501,노원구,0.024,0.028,0.5,0.005,59,40
2018,502,노원구,0.025,0.019,0.5,0.004,40,27
2018,503,노원구,0.016,0.033,0.4,0.004,23,12
2018,504,노원구,0.017,0.046,0.4,0.005,41,15
2018,505,노원구,0.023,0.051,0.4,0.006,40,18
2018,506,노원구,0.014,0.036,0.4,0.004,17,9
2018,507,노원구,0.027,0.023,0.5,0.005,36,16
2018,508,노원구,0.008,0.043,0.3,0.004,17,6
2018,509,노원구,0.014,0.036,0.3,0.004,21,8
2018,510,노원구,0.026,0.034,0.4,0.005,38,18
2018,511,노원구,0.027,0.041,0.4,0.004,54,30
2018,512,노원구,0.037,0.018,0.5,0.004,28,16
2018,513,노원구,0.017,0.029,0.4,0.004,22,13
2018,514,노원구,0.038,0.028,0.7,0.005,66,42
2018,515,노원구,0.041,0.027,0.7,0.005,72,46
2018,516,노원구,0.027,0.008,0.5,0.004,36,21
2018,517,노원구,0.027,0.01,0.4,0.004,14,6
2018,518,노원구,0.014,0.017,0.3,0.004,13,4
2018,519,노원구,0.011,0.031,0.3,0.004,12,4
