Season	Episode	Season & Episode	Title	Author	Quote
d	d	d	d	d	string
					include=True

01	01	0101	The One Where Monica Gets A Roommate	Monica	 There's nothing to tell! He's just some guyI work with!
01	01	0101	The One Where Monica Gets A Roommate	Joey	 C'mon, you're going out with the guy! There'sgotta be something wrong with him!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 All right Joey, benice.  So does he have a hump? A hump and a hairpiece?
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Wait, does he eat chalk?
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Just, 'cause, I don't want her to go throughwhat I went through with Carl- oh!
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Okay, everybody relax. This is not even adate. It's just two people going out to dinner and- not having sex.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Sounds like a date to me.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Alright, so I'm back in high school, I'mstanding in the middle of the cafeteria, and I realize I am totally naked.
01	01	0101	The One Where Monica Gets A Roommate	All	 Oh, yeah. Had that dream.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Then I look down, and I realize there's aphone... there.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Instead of...?
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 That's right.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Never had that dream.
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 No.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 All of a sudden, the phone starts to ring.Now I don't know what to do, everybody starts looking at me. 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 And they weren't looking atyou before?!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Finally, I figureI'd better answer it, and it turns out it's my mother,which is very-very weird, because- she never calls me!
01	01	0101	The One Where Monica Gets A Roommate	Ross	  Hi.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 This guy says hello, I wanna kill myself.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Are you okay, sweetie?
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I just feel like someone reached down mythroat, grabbed my small intestine, pulled it out of my mouth and tied it around myneck...
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Cookie?
01	01	0101	The One Where Monica Gets A Roommate	Monica	  Carol moved herstuff out today. 
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Ohh.
01	01	0101	The One Where Monica Gets A Roommate	Monica	  Let me get you some coffee.
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Thanks.
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Ooh! Oh! 
01	01	0101	The One Where Monica Gets A Roommate	Ross	 No, no don't! Stop cleansing my aura! No, justleave my aura alone, okay?
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Fine!  Be murky!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I'll be fine,alright? Really, everyone. I hope she'll be very happy.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 No you don't.
01	01	0101	The One Where Monica Gets A Roommate	Ross	 No I don't, to hell with her, she left me!
01	01	0101	The One Where Monica Gets A Roommate	Joey	 And you never knew she was a lesbian...
01	01	0101	The One Where Monica Gets A Roommate	Ross	 No!! Okay?! Why does everyone keep fixating onthat? She didn't know, how should I know?
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Sometimes I wish I was a lesbian...  Did I say that out loud?
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I told mom and dad last night,they seemed to take it pretty well.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Oh really, so thathysterical phone call I got from a woman at sobbing 3:00 A.M., "I'll never havegrandchildren, I'll never have grandchildren." was what?  A wrong number?
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Sorry.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Alright Ross, look. You're feeling a lot ofpain right now. You're angry. You're hurting. Can I tell you what the answer is?
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Strip joint! C'mon, you're single! Have somehormones!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I don't want to be single, okay? I just... Ijust- I just wanna be married again!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 And I just want a million dollars! 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Rachel?!
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Oh God Monica hi! Thank God! I just went toyour building and you weren't there and then this guy with a big hammer said you might behere and you are, you are!
01	01	0101	The One Where Monica Gets A Roommate	Waitress	 Can I get you some coffee?
01	01	0101	The One Where Monica Gets A Roommate	Monica	  De-caff.  Okay,everybody, this is Rachel, another Lincoln High survivor.  This is everybody,this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? 
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Hi, sure!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Hi. 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 So you wanna tell us now, or are we waitingfor four wet bridesmaids?
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Oh God... well, it started about a half hourbefore the wedding. I was in the room where we were keeping all the presents, and I waslooking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden-Sweet 'n' Lo?- I realized that I was more turnedon by this gravy boat than by Barry! And then I got really freaked out, and that's when ithit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew lookedfamiliar, but... Anyway, I just had to get out of there, and I started wondering 'Why am Idoing this, and who am I doing this for?'.  So anyway I just didn't know whereto go, and I know that you and I have kinda drifted apart, but you're the only person Iknew who lived here in the city.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Who wasn't invited to the wedding.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Ooh, I was kinda hoping that wouldn't be anissue... 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Now I'm guessing that he bought her the bigpipe organ, and she's really not happy about it. 
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Tuna or egg salad?  Decide!
01	01	0101	The One Where Monica Gets A Roommate	Ross	  I'll havewhatever Christine is having.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	  Daddy, I just... I can't marryhim! I'm sorry. I just don't love him. Well, it matters to me! 
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	  If I let go ofmy hair, my head will fall off. 
01	01	0101	The One Where Monica Gets A Roommate	Chandler	  Ooh, she should not be wearingthose pants. 
01	01	0101	The One Where Monica Gets A Roommate	Joey	 I say push her down the stairs. 
01	01	0101	The One Where Monica Gets A Roommate	Phoebe, Ross, Chandler, Joey	 Push her down the stairs! Push her down the stairs! Push her down the stairs!
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 C'mon Daddy, listen to me! It's like, it'slike, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're ashoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be ashoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want youto buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 You can see where he'd have trouble.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Look Daddy, it's my life. Well maybe I'lljust stay here with Monica. 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Well, I guess we've established who'sstaying here with Monica...
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Well, maybe that's my decision. Well, maybeI don't need your money. Wait!! Wait, I said maybe!!
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Just breathe, breathe.. that's it. Just tryto think of nice calm things...
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	  Raindrops on roses and rabbits andkittens,  bluebells and sleighbells and- somethingwith mittens... La la la la...something and noodles withstring.  These are a few...
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 I'm all better now.
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	  I helped!
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Okay, look, this is probably for the best,y'know? Independence. Taking control of your life.  The whole,'hat' thing.
01	01	0101	The One Where Monica Gets A Roommate	Joey	  And hey, you need anything,you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Joey, stop hitting on her! It's her weddingday!
01	01	0101	The One Where Monica Gets A Roommate	Joey	 What, like there's a rule or something?
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Please don't do that again, it's ahorrible sound.
01	01	0101	The One Where Monica Gets A Roommate	Paul	  It's, uh,it's Paul.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Oh God, is it6:30?  Buzz him in!
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Who's Paul?
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Paul the Wine Guy, Paul?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Maybe. Joey: Wait. Your 'not a realdate' tonight is with Paul the Wine Guy?
01	01	0101	The One Where Monica Gets A Roommate	Ross	 He finally asked you out?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Yes!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Ooh, this is a Dear Diary moment.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Rach, wait, I can cancel...
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Please, no, go, that'd be fine!
01	01	0101	The One Where Monica Gets A Roommate	Monica	  Are, are you okay? I mean, do youwant me to stay?
01	01	0101	The One Where Monica Gets A Roommate	Ross	  That'd be good...
01	01	0101	The One Where Monica Gets A Roommate	Monica	  Really?
01	01	0101	The One Where Monica Gets A Roommate	Ross	  No, go on! It's Paul the WineGuy!
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 What does that mean?  Does he sell it, drink it, or just complain a lot? 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.
01	01	0101	The One Where Monica Gets A Roommate	All	 Hey! Paul! Hi! The Wine Guy! Hey!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 I'm sorry, I didn't catch your name. Paul,was it?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Okay, umm-umm, I'lljust--I'll be right back, I just gotta go ah, go ah...
01	01	0101	The One Where Monica Gets A Roommate	Ross	 A wandering?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Change!  Okay,sit down.  Two seconds.
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Ooh, I just pulled out four eyelashes. Thatcan't be good.
01	01	0101	The One Where Monica Gets A Roommate	Joey	  Hey, Paul!
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Yeah?
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Here's a little tip, shereally likes it when you rub her neck in the same spot over and over and over again untilit starts to get a little red.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Shut up, Joey!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 So Rachel, what're you, uh... what're you upto tonight?
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Well, I was kinda supposed to be headed forAruba on my honeymoon, so nothing!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Right, you're not even getting your honeymoon,God.. No, no, although, Aruba, this time of year... talk about your-  -biglizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler arecoming over to help me put together my new furniture.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	  Yes, and we're very excitedabout it. 
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Well actually thanks, but I think I'm justgonna hang out here tonight.  It's been kinda a long day.
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Okay, sure.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Hey Pheebs, you wanna help?
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Oh, I wish I could, but I don't want to.
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	  Love is sweet assummer showers, love is a wondrous work of art, but your love oh your love, your love...islike a giant pigeon...crapping on my heart.  La-la-la-la-la-  Thank you.  La-la-la-la...ohhh!
01	01	0101	The One Where Monica Gets A Roommate	Ross	  I'msupposed to attach a brackety thing to the side things, using a bunch of these little wormguys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 I'm thinking we've got abookcase here.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 It's a beautiful thing.
01	01	0101	The One Where Monica Gets A Roommate	Joey	  What's this?
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 I would have tosay that is an 'L'-shaped bracket.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Which goes where?
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 I have noidea.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Done with the bookcase!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 All finished!
01	01	0101	The One Where Monica Gets A Roommate	Ross	  This wasCarol's favorite beer. She always drank it out of the can, I should have known.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Hey-hey-hey-hey, if you'regonna start with that stuff we're outta here.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Yes, please don't spoilall this fun.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Ross, let me ask you a question. She got thefurniture, the stereo, the good TV- what did you get?
01	01	0101	The One Where Monica Gets A Roommate	Ross	 You guys.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Oh, God.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 You got screwed.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Oh my God!
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Oh my God!
01	01	0101	The One Where Monica Gets A Roommate	Paul	 I know, I know, I'm such an idiot. I guess Ishould have caught on when she started going to the dentist four and five times a week. Imean, how clean can teeth get?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 My brother's going through that right now,he's such a mess. How did you get through it?
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Well, you might try accidentally breakingsomething valuable of hers, say her-
01	01	0101	The One Where Monica Gets A Roommate	Monica	 -leg?
01	01	0101	The One Where Monica Gets A Roommate	Paul	  That's one way! Me, I- I went forthe watch.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded byboyfriend's favorite bath towel.
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Ooh, steer clear of you.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 That's right.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Barry, I'm sorry... I am so sorry... I knowyou probably think that this is all about what I said the other day about you making lovewith your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...look,look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel,but it isn't me, it's not me.  And not that I have any idea who me is right now, butyou just have to give me a chance too... 
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I'm divorced!  I'm only26 and I'm divorced!
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Shut up!
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 You must stop! 
01	01	0101	The One Where Monica Gets A Roommate	Ross	 That only took me an hour.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Look, Ross, you gottaunderstand, between us we haven't had a relationship that has lasted longer than a Mento.  You, however have had the love of a woman for four years.  Four years of closeness and sharing at the end of which she ripped your heart out, andthat is why we don't do it!  I don't think that was my point!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 You know what the scariest part is? What ifthere's only one woman for everybody, y'know? I mean what if you get one woman- and that'sit? Unfortunately in my case, there was only one woman- for her...
01	01	0101	The One Where Monica Gets A Roommate	Joey	 What are you talking about? 'One woman'?That's like saying there's only one flavor of ice cream for you. Lemme tell you something,Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing!Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is thebest thing that ever happened to you! You got married, you were, like, what, eight?Welcome back to the world! Grab a spoon!
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I honestly don't know if I'm hungry or horny.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Stay out of my freezer! 
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Ever since she walked out on me, I, uh...
01	01	0101	The One Where Monica Gets A Roommate	Monica	 What?..... What, you wanna spell it out withnoodles?
01	01	0101	The One Where Monica Gets A Roommate	Paul	 No, it's, it's more of a fifth date kindarevelation.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Oh, so there is gonna be a fifth date?
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Isn't there?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Yeah... yeah, I think there is. -What wereyou gonna say?
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Well, ever-ev-... ever since she left me, um,I haven't been able to, uh, perform.  ...Sexually. 
01	01	0101	The One Where Monica Gets A Roommate	Monica	  Oh God, ohGod, I am sorry... I am so sorry...
01	01	0101	The One Where Monica Gets A Roommate	Paul	 It's okay...
01	01	0101	The One Where Monica Gets A Roommate	Monica	 I know being spit on is probably not whatyou need right now. Um... how long?
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Two years.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Wow! I'm-I'm-I'm glad you smashed her watch!
01	01	0101	The One Where Monica Gets A Roommate	Paul	 So you still think you, um... might want thatfifth date?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 ...Yeah. Yeah, I do.
01	01	0101	The One Where Monica Gets A Roommate	Priest On Tv	We are gathered here today to join Joanne Louise Cunningham andCharles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Oh...see... but Joanne loved Chachi! That'sthe difference!
01	01	0101	The One Where Monica Gets A Roommate	Ross	  Grab a spoon. Do you know how longit's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anythingto you? 
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Great story!  But, I uh,I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, 
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Angela's the screamer,Andrea has cats.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Right.  Thanks. It's June.  I'm outta here. 
01	01	0101	The One Where Monica Gets A Roommate	Ross	 Y'know, here's the thing. Even if I could getit together enough to- to ask a woman out,... who am I gonna ask? 
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Isn't this amazing? I mean, I have nevermade coffee before in my entire life.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 That is amazing.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Congratulations. 
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Y'know, I figure if I canmake coffee, there isn't anything I can't do.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 If can invade Poland,there isn't anything I can't do.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Listen, while you're on a roll, if you feellike you gotta make like a Western omelet or something...  Although actually I'm really not thathungry...
01	01	0101	The One Where Monica Gets A Roommate	Monica	  Ohgood, Lenny and Squigy are here.
01	01	0101	The One Where Monica Gets A Roommate	All	 Morning. Good morning.
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Morning.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Morning, Paul.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Hello, Paul.
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 Hi, Paul, is it?
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Thank you!  Thank you somuch!
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Stop!
01	01	0101	The One Where Monica Gets A Roommate	Paul	 No, I'm telling you last nightwas like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 We'll talk later.
01	01	0101	The One Where Monica Gets A Roommate	Paul	 Yeah.  Thank you. 
01	01	0101	The One Where Monica Gets A Roommate	Joey	 That wasn't a real date?! What the hell do youdo on a real date?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Shut up, and put my table back.
01	01	0101	The One Where Monica Gets A Roommate	All	 Okayyy! 
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 All right, kids, I gotta get to work. If Idon't input those numbers,... it doesn't make much of a difference... 
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 So, like, you guys all have jobs?
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Yeah, we all have jobs. See, that's how webuy stuff.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Yeah, I'm an actor.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Wow! Would I have seen you in anything?
01	01	0101	The One Where Monica Gets A Roommate	Joey	 I doubt it. Mostly regional work.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Oh wait, wait, unless you happened to catchthe Reruns' production of Pinocchio, at the little theater in thepark.
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Look, it was a job all right?
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 'Look, Gippetto, I'm a real live boy.'
01	01	0101	The One Where Monica Gets A Roommate	Joey	 I will not take this abuse. 
01	01	0101	The One Where Monica Gets A Roommate	Chandler	 You're right, I'm sorry.  "Once I was a wooden boy, a little wooden boy..."
01	01	0101	The One Where Monica Gets A Roommate	Joey	 You should both know,that he's a dead man.  Oh, Chandler?  
01	01	0101	The One Where Monica Gets A Roommate	Monica	 So how you doing today? Did you sleep okay?Talk to Barry? I can't stop smiling.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 I can see that. You look like you slept witha hanger in your mouth.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 I know, he's just so, so... Do you rememberyou and Tony DeMarco?
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Oh, yeah.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Well, it's like that. With feelings.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Oh wow. Are you in trouble.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Big time!
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Want a wedding dress?  Hardly used.
01	01	0101	The One Where Monica Gets A Roommate	Monica	 I think we are gettinga little ahead of selves here. Okay. Okay. I am just going to get up, go to workand not think about him all day. Or else I'm just gonna get up and go to work.
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 Oh, look, wish me luck!
01	01	0101	The One Where Monica Gets A Roommate	Monica	 What for?
01	01	0101	The One Where Monica Gets A Roommate	Rachel	 I'm gonna go get one of those  jobthings.
01	01	0101	The One Where Monica Gets A Roommate	Frannie	 Hey, Monica! 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Hey Frannie, welcome back! How was Florida? 
01	01	0101	The One Where Monica Gets A Roommate	Frannie	 You had sex, didn't you? 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 How do you do that?
01	01	0101	The One Where Monica Gets A Roommate	Frannie	 Oh, I hate you, I'm pushing my Aunt Roz throughParrot Jungle and you're having sex!  So? Who? 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 You know Paul? 
01	01	0101	The One Where Monica Gets A Roommate	Frannie	 Paul the Wine Guy? Oh yeah, I know Paul. 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 You mean you know Paul like I know Paul? 
01	01	0101	The One Where Monica Gets A Roommate	Frannie	 Are you kidding? I take credit for Paul. Y'know before me, there was nosnap in his turtle for two years. 
01	01	0101	The One Where Monica Gets A Roommate	Joey	 Of course it was a line! 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 Why?! Why? Why, why would anybody do something like that? 
01	01	0101	The One Where Monica Gets A Roommate	Ross	 I assume we're looking for an answer more sophisticated than 'to get youinto bed'. 
01	01	0101	The One Where Monica Gets A Roommate	Monica	 I hate men!  I hate men!
01	01	0101	The One Where Monica Gets A Roommate	Phoebe	 Oh no, don't hate, you don'twant to put that out into the universe.
